"ID","FOOD_A","FOOD_B","DESCRIPTION","SEARCH_CNT"
340,"쇠고기(소고기)","배","파인애플에는 브로멜린 성분이 함유되어 있어서 강력한 연육 효과를 발휘한다.",0
341,"쇠고기(소고기)","무","소고기가 매우 부드러워지는 효과가 있다.",0
342,"쇠고기(소고기)","파인애플","파인애플이 고기를 연하게 해 주고 소화를 촉진시킨다. 피로회복에 좋다.",0
343,"쇠고기(소고기)","키위","키위에 함유된 액티니딘이라는 성분이 단백질을 분해하는 역할을 하여 육질이 연해진다.",0
344,"쇠고기(소고기)","참기름","참기름이 콜레스테롤이 혈관에 참착하는 것을 예방해 준다.",0
345,"쇠고기(소고기)","황기","기운을 돋아준다.",0
346,"우유","마늘","냉기를 없애준다.",0
347,"우유","생강","어린이가 토하고 쇠약해지는 것을 다스려준다.",0
348,"우유","부추","영양이 부족하거나 위가 약해졌을 때 먹으면 도움이된다. 입덧에 좋다.",0
349,"우유","콩","칼슘의 흡수율이 더욱 높아진다.",0
350,"우유","옥수수","우유는 옥수수에 부족한 라이신과 트립토판의 공급식품으로 옥수수의 결점을 보완해준다.",0
351,"우유","파인애플","골다공증과 신경안정, 피로해소에 효과적이다.",0
352,"우유","파파야","골다공증, 신경안정, 피로회복에 좋다.",0
353,"우유","식초","변비에 좋다. 빈혈에 좋다.",0
354,"우유","레몬","수술 후 기력 회복에 좋다.",0
355,"우유","잣","잣은 인이 많고 칼슘은 적기 때문에 우유와 같이 먹으면 부족한 칼슘 성분을 보충할 수 있다.",0
356,"우유","메추리(메추라기)","하초가 튼튼해진다.",0
357,"우유","닭고기","닭의 비린내를 잡아주면서 특히 닭 날개에 풍부한 콜라젠과 히알루론산의 효과가 더해져 피부에 좋다.",0
358,"염소고기","인삼","기를 보호해주는 인삼의 효능을 증가시킨다.",0
359,"염소고기","팥","염소를 먹고 체했을때는 팥을 태운 가루를 먹으면 좋다.",0
360,"염소고기","아몬드","철분과 단백질의 흡수를 더욱 상승시키는 작용을 한다.",0
361,"염소고기","음양곽","염소는 철쭉꽃을 먹으면 죽고, 음양곽을 먹으면 효과가 배가 된다.",0
362,"염소고기","마늘","양기를 늘리고 속이 허하거나 냉해서 구토하는 증상을 개선해 준다.",0
363,"염소고기","부추","양기를 늘리고 속이 허하거나 냉해서 구토하는 증상을 개선해 준다.",0
364,"자라","닭고기","보양음식이된다.",0
365,"자라","토란","칼슘흡수가 좋아진다.",0
366,"자라","콩","빈혈, 구내염, 설염을 예방한다.",0
367,"자라","호두","빈혈, 구내염, 설염을 예방한다.",0
368,"자라","목이버섯","정혈, 증혈 작용을 한다.",0
369,"감초","검은콩","해독작용을 하고 인후통 등에도 효과가 있다.",0
370,"감초","도라지","편도선염이나 인후염에 좋다.",0
371,"결명자","구기자","눈의 피로를 풀어준다.",0
372,"결명자","다시마","고혈압에 효과가 있다.",0
373,"구기자","숙지황","발육을 촉진하고, 신체의 활력을 촉진시킨다.",0
374,"구기자","오미자","전신허약증에좋 다.",0
375,"구기자","결명자","눈이 보호되고 간 기능이 좋아진다.",0
376,"구기자술","과일주","마시기에 한결 좋다.",0
377,"구기자","흑임자","소화기가 약해서 오는 변비를 다스린다.",0
378,"구기자","생강","맛, 향기, 빛깔이 좋아진다.",0
379,"구기자","대추","맛, 향기, 빛깔이 좋아진다.",0
380,"구기자","국화","눈을 밝게 해 주고 눈병을 다스린다.",0
381,"국화","산사자","고혈압과 고지혈증을 치료하는 데 도움이 된다.",0
382,"국화","뽕잎","진득한 가래, 기침, 갈증과 두통 등에 좋다.",0
383,"국화","매실","간기능을 호전시키고 피로를 푸는 데 효과가 있다.",0
384,"국화","생지황","몸이 가뿐해지고 오래 산다고 알려져 있다.",0
385,"녹차","국화","두통이나 눈이 침침한 데 좋다.",0
386,"녹차","식초","피로 해소에 좋고, 고질적인 변비에도 효과가 있다.",0
387,"녹차","결명자","눈이 밝아진다.",0
388,"당귀","감초","자궁출혈, 자궁내막염, 질염, 불감증에 좋다.",0
389,"당귀","대추","당귀를 끓이면 약간 쓰면서 쌉쌀하다. 당귀술이나 당귀차를 만들때 감초나 대추를 함께하면 효과도 좋고 맛도 좋아져 복용하기 휠씬 수월해진다. 자궁출혈자궁내막염질염불면증성욕저하때에는 당귀와 대추를 함께 차로 마신다.",0
390,"당귀","녹용","조혈기능을 돕는다.",0
391,"당귀","천마","빈혈과 두통을 가라앉힌다.",0
392,"당귀","황기","혈액의 생성을 늘리고 빈혈을 개선한다.",0
393,"당귀","숙지황","뇌의 피로와 전신성 피로 해소에 도움이 된다.",0
394,"당귀","계피","월경 전의 복통에 좋다.",0
395,"두충","호두","무릎에 힘이 없을 때에 효과적이다.",0
396,"두충","대추","태아를 안정시키고, 산후 후유증을 치료해준다.",0
397,"두충","오미자","요통에 좋다.",0
398,"두충","족발","다리에 힘이 없고, 아픈 데 효과가 있다.",0
399,"대추","인삼","속을 따뜻하게 해주는 데다 신경을 안정시키는 효능이 있어 소음인 체질은 인삼과 함께 달여 먹으면 좋다.",0
400,"산수유","당귀","콜레스테롤 강하게 좋다.",0
401,"산수유","두충","고혈압에 좋다.",0
402,"오가피","모과","빈혈과 저혈압에 좋다.",0
403,"오가피","두충","골다공증에 좋다.",0
404,"오가피","구기자","기력 회복에 좋다.",0
405,"오가피","당귀","혈류 개선을 돕는다.",0
406,"오미자","감초","기침을 완화하는데 효과가 좋다. 감초는 해독간염두드러기피부염 등에 좋다. 또한 감초는 모든 약의 독성을 조화시키고 약효과 잘 나오게 해서 모든 한약에 쓰일 만큼 사용범위가 크다. ",0
407,"오미자","맥문동","당뇨에 좋다.",0
408,"오미자","인삼","오미자를 인삼과 차로 마시면 더위로 지쳤을때 체력보강을 하는데 아주 뛰어나다.",0
409,"오미자","통밀","땀이 많이 나는것을 방지 할 수 있다. 식이섬유소가 풍부한 통밀은 배변을 돕기도 하고 혈당상승억제 역할도 한다.",0
410,"오미자","토사자","허리 힘을 세게 해주고 성교불능증을 개선하고 몽정 등에도 좋다.토사자는 주로 간과 신장을 보호하고 양기를 도와준다.",0
411,"오미자","배","갈증을 해결하고 가슴속의 번열을 내리는데 효능이 있다. 시원 달콤한 맛인 배는 변비예방에 아주 좋다.",0
412,"인삼","음양곽","인삼과 음앙곽을 배합하면 성기능 쇠약 및 갱년기 장애에 효과적이다. 음양곽은 남녀의 성기능을 강화하고 고환과 음경의 발육을 향상시키고 자궁과 난소의 발육을 돕고，특히 갱년기 장애와 갱년기성 고혈압 등을 개선하는 효능이 있다.",0
413,"인삼","황기","폐의 기능을 좋게 하고 땀을 조절해준다.",0
414,"인삼","꿀","인삼의 부족한 열량을 더해 체력을 보강하는데 더욱 도움된다. 또한 꿀은 에너지원이 되고 인삼은 신체를 활성화하게 만들어 둘을 같이 먹는 것은 환상의 궁합이라고 할 수 있다.",0
415,"인삼","생강","생강 인삼 계피는 몸을 따뜻하게 하는 약재이다.",0
416,"인삼","당귀","활력 개선, 원기 회복, 영양 공급에 좋다.",0
417,"인삼","마","자양 강장 효능이 있고 기관지를 튼튼하게 해준다.",0
418,"인삼","장어","병후회복 산후조리 정력증강 미용 등에 가히 최고라고 할 수 있다. 장어에 인삼 한약재를 넣고 끓인 장삼탕은 그야말로 보양식의 끝판왕이다.",0
